[2025-08-09T08:12:55.178Z] CLEANUP: 🧹 HANDMATIGE CLEANUP GESTART
[2025-08-09T08:12:55.180Z] CLEANUP: 🧹 DAGELIJKSE CLEANUP GESTART
[2025-08-09T08:12:55.182Z] CLEANUP: === CLEANUP BACKUP BESTANDEN GESTART ===
[2025-08-09T08:12:55.186Z] CLEANUP: Gevonden 521 backup bestanden
[2025-08-09T08:12:55.188Z] CLEANUP: Behouden: 5 backups (de 5 nieuwste)
[2025-08-09T08:12:55.205Z] CLEANUP:   ✓ Behouden: members_backup_1754726740984.json (09/08/2025)
[2025-08-09T08:12:55.209Z] CLEANUP:   ✓ Behouden: members_backup_1754723141095.json (09/08/2025)
[2025-08-09T08:12:55.210Z] CLEANUP:   ✓ Behouden: members_backup_1754719541339.json (09/08/2025)
[2025-08-09T08:12:55.212Z] CLEANUP:   ✓ Behouden: members_backup_1754715941204.json (09/08/2025)
[2025-08-09T08:12:55.213Z] CLEANUP:   ✓ Behouden: members_backup_1754712341347.json (09/08/2025)
[2025-08-09T08:12:55.216Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754708741138.json (09/08/2025)
[2025-08-09T08:12:55.218Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754705141210.json (09/08/2025)
[2025-08-09T08:12:55.220Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754701541152.json (09/08/2025)
[2025-08-09T08:12:55.223Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754697941553.json (09/08/2025)
[2025-08-09T08:12:55.225Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754694341305.json (09/08/2025)
[2025-08-09T08:12:55.227Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754690741447.json (09/08/2025)
[2025-08-09T08:12:55.230Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754687141416.json (08/08/2025)
[2025-08-09T08:12:55.232Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754683542259.json (08/08/2025)
[2025-08-09T08:12:55.233Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754679942585.json (08/08/2025)
